,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,BedroomRatio,AvgRoomSize,GarageScore,OverallScore,ExterScore,BsmtScore1,BsmtScore2,KitchenScore,FireplaceScore,PoolScore,BsmtFin1Score,BsmtFin2Score,TotFlrSF,TotBath,TotBsmtBath,TotCombBath,TotSF
0,60,RL,65.0,8450,2,0,4,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,6,706,1,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,0,Attchd,2003.0,2,2,548,3,3,2,0,61,0,0,0,0,0,0,none,0,2,2008,WD,Normal,12.24769911637256,0.375,213.75,9,35,12,12,12,4,0,0,4236,4236,1710,2.5,1.0,3.5,2566
1,20,RL,80.0,9600,2,0,4,4,4,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978,1,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,3,Attchd,1976.0,2,2,460,3,3,2,298,0,0,0,0,0,0,0,none,0,5,2007,WD,Normal,12.109016442313738,0.5,210.33333333333334,9,48,9,12,48,3,3,0,4890,4890,1262,2.0,0.5,2.5,2524
2,60,RL,68.0,11250,2,0,3,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,6,486,1,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,3,Attchd,2001.0,2,2,608,3,3,2,0,42,0,0,0,0,0,0,none,0,9,2008,WD,Normal,12.317171167298682,0.5,297.6666666666667,9,35,12,12,24,4,3,0,2916,2916,1786,2.5,1.0,3.5,2706
3,70,RL,60.0,9550,2,0,3,4,4,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,1,5,216,1,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,4,Detchd,1998.0,1,3,642,3,3,2,0,35,272,0,0,0,0,0,none,0,2,2006,WD,Abnorml,11.849404844423074,0.42857142857142855,245.28571428571428,9,35,9,12,12,4,4,0,1080,1080,1717,1.0,1.0,2.0,2473
4,60,RL,84.0,14260,2,0,3,4,4,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,6,655,1,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,3,Attchd,2000.0,2,3,836,3,3,2,192,84,0,0,0,0,0,0,none,0,12,2008,WD,Normal,12.429220196836383,0.4444444444444444,244.22222222222223,9,40,12,12,36,4,3,0,3930,3930,2198,2.5,1.0,3.5,3343
5,50,RL,85.0,14115,2,0,3,4,4,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,1,6,732,1,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,0,Attchd,1993.0,1,2,480,3,3,2,40,30,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,11.870606902224587,0.2,272.4,9,25,9,12,12,3,0,0,4392,4392,1362,1.5,1.0,2.5,2158
6,20,RL,75.0,10084,2,0,4,4,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,3,6,1369,1,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,4,Attchd,2004.0,2,2,636,3,3,2,255,57,0,0,0,0,0,0,none,0,8,2007,WD,Normal,12.634606283893019,0.42857142857142855,242.0,9,40,12,15,45,4,4,0,8214,8214,1694,2.0,1.0,3.0,3380
7,60,RL,69.0,10382,2,0,3,4,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,3,Attchd,1973.0,2,2,484,3,3,2,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,12.206077645517674,0.42857142857142855,298.57142857142856,9,42,9,12,24,3,6,0,4295,4295,2090,2.5,1.0,3.5,3197
8,50,RM,51.0,6120,2,0,4,4,4,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,3,Detchd,1931.0,1,2,468,2,3,2,90,0,205,0,0,0,0,0,none,0,4,2008,WD,Abnorml,11.774527900858468,0.25,221.75,6,35,9,9,9,6,6,0,0,0,1774,2.0,0.0,2.0,2726
9,190,RL,50.0,7420,2,0,4,4,4,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,6,851,1,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,3,Attchd,1939.0,2,1,205,4,3,2,0,4,0,0,0,0,0,0,none,0,1,2008,WD,Normal,11.678448377988165,0.4,215.4,12,30,9,9,9,6,6,0,5106,5106,1077,1.0,1.0,2.0,2068
10,20,RL,70.0,11200,2,0,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0,Detchd,1965.0,1,1,384,3,3,2,0,0,0,0,0,0,0,0,none,0,2,2008,WD,Normal,11.771443882099637,0.6,208.0,9,25,9,9,9,3,0,0,2718,2718,1040,1.0,1.0,2.0,2080
11,60,RL,85.0,11924,2,0,3,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998,1,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4,BuiltIn,2005.0,3,3,736,3,3,2,147,21,0,0,0,0,0,0,none,0,7,2006,New,Partial,12.75130259456002,0.36363636363636365,211.27272727272728,9,45,15,15,15,5,8,0,5988,5988,2324,3.0,1.0,4.0,3499
12,20,RL,69.0,12968,2,0,2,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,737,1,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0,Detchd,1962.0,1,1,352,3,3,2,140,0,0,0,176,0,0,0,none,0,9,2008,WD,Normal,11.87757552297847,0.5,228.0,9,30,9,9,9,3,0,0,3685,3685,912,1.0,1.0,2.0,1824
13,20,RL,91.0,10652,2,0,3,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0,1,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4,Attchd,2006.0,2,3,840,3,3,2,160,33,0,0,0,0,0,0,none,0,8,2007,New,Partial,12.540761149388421,0.42857142857142855,213.42857142857142,9,35,12,12,36,4,4,0,0,0,1494,2.0,0.0,2.0,2988
14,20,RL,69.0,10920,2,0,3,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733,1,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2,Attchd,1960.0,2,1,352,3,3,2,0,213,176,0,0,0,0,2,none,0,5,2008,WD,Normal,11.964007453736912,0.4,250.6,9,30,9,9,9,3,2,0,2932,2932,1253,1.5,1.0,2.5,2506
15,45,RM,51.0,6120,2,0,4,4,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0,Detchd,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,0,4,none,0,7,2007,WD,Normal,11.790564777297387,0.4,170.8,9,56,9,9,9,3,0,0,0,0,854,1.0,0.0,1.0,1686
16,20,RL,69.0,11241,2,0,3,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578,1,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,Attchd,1970.0,3,2,480,3,3,2,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,11.91170829631447,0.4,200.8,9,42,9,9,9,3,3,0,2890,2890,1004,1.0,1.0,2.0,2008
17,90,RL,72.0,10791,2,0,4,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0,CarPort,1967.0,1,2,516,3,3,2,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,11.407576060361786,0.3333333333333333,216.0,9,20,9,0,0,6,0,0,0,0,1296,2.0,0.0,2.0,1296
18,20,RL,66.0,13695,2,0,4,4,4,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,6,646,1,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0,Detchd,2004.0,1,2,576,3,3,2,0,102,0,0,0,0,0,0,none,0,6,2008,WD,Normal,11.976665770490767,0.5,185.66666666666666,9,25,9,9,9,4,0,0,3876,3876,1114,1.5,1.0,2.5,2228
